link_id,from_node_id,to_node_id,built_cost,trans_cost,link_type,acting_link_id,,,
122,1014,2005,19 ,0,2,122,,,38.08
123,1014,2006,33 ,0,2,123,,,65.8
124,1014,2007,6 ,0,2,124,,,11.4
125,1014,2008,17 ,0,2,125,,,34.79
126,1014,2009,32 ,0,2,126,,,63.95
127,1015,2001,23 ,0,2,127,,,46.32
128,1015,2002,30 ,0,2,128,,,60.88
129,1015,2003,42 ,0,2,129,,,84.06
130,1015,2004,9 ,0,2,130,,,18.6
131,1015,2005,22 ,0,2,131,,,43.66
132,1015,2006,36 ,0,2,132,,,72.57
133,1015,2007,9 ,0,2,133,,,18.6
134,1015,2008,22 ,0,2,134,,,43.66
135,1015,2009,36 ,0,2,135,,,72.57
136,1016,2001,38 ,0,2,136,,,75.33
137,1016,2002,23 ,0,2,137,,,45.54
138,1016,2003,8 ,0,2,138,,,16.55
139,1016,2004,39 ,0,2,139,,,78.45
140,1016,2005,25 ,0,2,140,,,50.54
141,1016,2006,14 ,0,2,141,,,27.46
142,1016,2007,46 ,0,2,142,,,91.84
143,1016,2008,35 ,0,2,143,,,69.53
144,1016,2009,28 ,0,2,144,,,55.08
145,1017,2001,21 ,0,2,145,,,42.06
146,1017,2002,29 ,0,2,146,,,58.73
147,1017,2003,42 ,0,2,147,,,83.24
148,1017,2004,8 ,0,2,148,,,16.4
149,1017,2005,22 ,0,2,149,,,44.15
150,1017,2006,37 ,0,2,150,,,73.68
151,1017,2007,12 ,0,2,151,,,23.85
152,1017,2008,24 ,0,2,152,,,47.42
153,1017,2009,38 ,0,2,153,,,75.69
154,1018,2001,26 ,0,2,154,,,51.88
155,1018,2002,14 ,0,2,155,,,28.84
156,1018,2003,14 ,0,2,156,,,27.78
157,1018,2004,23 ,0,2,157,,,46.39
158,1018,2005,9 ,0,2,158,,,17.09
159,1018,2006,8 ,0,2,159,,,15.23
160,1018,2007,29 ,0,2,160,,,58.41
161,1018,2008,20 ,0,2,161,,,39.4
162,1018,2009,19 ,0,2,162,,,38.63
163,1019,2001,19 ,0,2,163,,,37.7
164,1019,2002,7 ,0,2,164,,,14.87
165,1019,2003,14 ,0,2,165,,,28.65
166,1019,2004,19 ,0,2,166,,,38.48
167,1019,2005,8 ,0,2,167,,,16.76
168,1019,2006,15 ,0,2,168,,,29.68
169,1019,2007,29 ,0,2,169,,,57.8
170,1019,2008,23 ,0,2,170,,,46.27
171,1019,2009,26 ,0,2,171,,,52.35
172,1020,2001,13 ,0,2,172,,,25.3
173,1020,2002,5 ,0,2,173,,,10
174,1020,2003,18 ,0,2,174,,,36.88
175,1020,2004,16 ,0,2,175,,,32.56
176,1020,2005,11 ,0,2,176,,,22.8
177,1020,2006,21 ,0,2,177,,,42.19
178,1020,2007,29 ,0,2,178,,,57.27
179,1020,2008,26 ,0,2,179,,,52.35
180,1020,2009,32 ,0,2,180,,,63.25
181,3001,4001,36 ,0,3,181,,,72.57
182,3002,4001,42 ,0,3,182,,,84.06
183,3003,4001,52 ,0,3,183,,,103.28
184,3004,4001,22 ,0,3,184,,,43.66
185,3005,4001,30 ,0,3,185,,,60.88
186,3006,4001,43 ,0,3,186,,,85.48
187,3007,4001,9 ,0,3,187,,,18.6
188,3008,4001,23 ,0,3,188,,,46.32
189,3009,4001,38 ,0,3,189,,,75.8
190,3001,4002,29 ,0,3,190,,,58.6
191,3002,4002,27 ,0,3,191,,,53.24
192,3003,4002,32 ,0,3,192,,,63.51
193,3004,4002,17 ,0,3,193,,,33.97
194,3005,4002,12 ,0,3,194,,,23.54
195,3006,4002,21 ,0,3,195,,,41.88
196,3007,4002,13 ,0,3,196,,,25.96
197,3008,4002,4 ,0,3,197,,,8.6
198,3009,4002,18 ,0,3,198,,,35.69
199,3001,4003,38 ,0,3,199,,,75.64
200,3002,4003,25 ,0,3,200,,,49.82
201,3003,4003,16 ,0,3,201,,,32.28
202,3004,4003,35 ,0,3,202,,,69.01
203,3005,4003,20 ,0,3,203,,,39.01
204,3006,4003,5 ,0,3,204,,,9.06
205,3007,4003,37 ,0,3,205,,,74.85
206,3008,4003,24 ,0,3,206,,,48.6
207,3009,4003,15 ,0,3,207,,,30.36
208,3001,4004,17 ,0,3,208,,,34.01
209,3002,4004,7 ,0,3,209,,,14.04
210,3003,4004,16 ,0,3,210,,,32.2
211,3004,4004,27 ,0,3,211,,,53.82
212,3005,4004,22 ,0,3,212,,,44.01
213,3006,4004,26 ,0,3,213,,,52.7
214,3007,4004,40 ,0,3,214,,,80.23
215,3008,4004,37 ,0,3,215,,,74.01
216,3009,4004,40 ,0,3,216,,,79.48
217,3001,4005,23 ,0,3,217,,,46.17
218,3002,4005,10 ,0,3,218,,,19.8
219,3003,4005,11 ,0,3,219,,,21.26
220,3004,4005,23 ,0,3,220,,,46.82
221,3005,4005,11 ,0,3,221,,,21.26
222,3006,4005,11 ,0,3,222,,,22.63
223,3007,4005,32 ,0,3,223,,,63.66
224,3008,4005,24 ,0,3,224,,,48.08
225,3009,4005,24 ,0,3,225,,,48.7
226,3001,4006,4 ,0,3,226,,,7.62
227,3002,4006,17 ,0,3,227,,,33.73
228,3003,4006,32 ,0,3,228,,,63.39
229,3004,4006,19 ,0,3,229,,,37.12
230,3005,4006,25 ,0,3,230,,,49.58
231,3006,4006,37 ,0,3,231,,,73.06
232,3007,4006,34 ,0,3,232,,,67.07
233,3008,4006,37 ,0,3,233,,,74.69
234,3009,4006,46 ,0,3,234,,,91.97
235,3001,4007,33 ,0,3,235,,,66.71
236,3002,4007,19 ,0,3,236,,,38.08
237,3003,4007,8 ,0,3,237,,,15.81
238,3004,4007,40 ,0,3,238,,,79.06
239,3005,4007,29 ,0,3,239,,,57.01
240,3006,4007,23 ,0,3,240,,,45.28
241,3007,4007,50 ,0,3,241,,,99.25
242,3008,4007,41 ,0,3,242,,,82.76
243,3009,4007,38 ,0,3,243,,,75.17
244,3001,4008,26 ,0,3,244,,,52.15
245,3002,4008,31 ,0,3,245,,,62.13
246,3003,4008,41 ,0,3,246,,,82.46
247,3004,4008,11 ,0,3,247,,,22.36
248,3005,4008,20 ,0,3,248,,,40.5
249,3006,4008,34 ,0,3,249,,,67.68
250,3007,4008,4 ,0,3,250,,,8.94
251,3008,4008,17 ,0,3,251,,,34.93
252,3009,4008,32 ,0,3,252,,,64.5
253,3001,4009,30 ,0,3,253,,,60.73
254,3002,4009,30 ,0,3,254,,,59.23
255,3003,4009,36 ,0,3,255,,,71.61
256,3004,4009,17 ,0,3,256,,,33.29
257,3005,4009,15 ,0,3,257,,,30.46
258,3006,4009,25 ,0,3,258,,,50.48
259,3007,4009,9 ,0,3,259,,,18.11
260,3008,4009,6 ,0,3,260,,,12.17
261,3009,4009,21 ,0,3,261,,,42.05
262,3001,4010,4 ,0,3,262,,,8.25
263,3002,4010,16 ,0,3,263,,,32.98
264,3003,4010,31 ,0,3,264,,,62.51
265,3004,4010,11 ,0,3,265,,,22.09
266,3005,4010,19 ,0,3,266,,,38.83
267,3006,4010,33 ,0,3,267,,,65.79
268,3007,4010,26 ,0,3,268,,,52.04
269,3008,4010,31 ,0,3,269,,,61.06
270,3009,4010,40 ,0,3,270,,,80.92
271,3001,4011,35 ,0,3,271,,,69.43
272,3002,4011,41 ,0,3,272,,,80.99
273,3003,4011,50 ,0,3,273,,,100.5
274,3004,4011,20 ,0,3,274,,,40.5
275,3005,4011,29 ,0,3,275,,,58.14
276,3006,4011,42 ,0,3,276,,,83.19
277,3007,4011,8 ,0,3,277,,,16.12
278,3008,4011,22 ,0,3,278,,,44.72
279,3009,4011,37 ,0,3,279,,,74.43
280,3001,4012,6 ,0,3,280,,,12.17
281,3002,4012,9 ,0,3,281,,,18.11
282,3003,4012,24 ,0,3,282,,,48.04
283,3004,4012,15 ,0,3,283,,,30.46
284,3005,4012,17 ,0,3,284,,,33.29
285,3006,4012,28 ,0,3,285,,,55.57
286,3007,4012,30 ,0,3,286,,,59.23
287,3008,4012,30 ,0,3,287,,,60.73
288,3009,4012,38 ,0,3,288,,,75.29
289,3001,4013,25 ,0,3,289,,,49.25
290,3002,4013,10 ,0,3,290,,,19.65
291,3003,4013,6 ,0,3,291,,,12.08
292,3004,4013,30 ,0,3,292,,,60.22
293,3005,4013,20 ,0,3,293,,,39.82
294,3006,4013,18 ,0,3,294,,,36.69
295,3007,4013,41 ,0,3,295,,,81.4
296,3008,4013,34 ,0,3,296,,,67.72
297,3009,4013,33 ,0,3,297,,,65.92
298,3001,4014,25 ,0,3,298,,,49.09
299,3002,4014,30 ,0,3,299,,,59.08
300,3003,4014,40 ,0,3,300,,,79.81
301,3004,4014,10 ,0,3,301,,,19.24
302,3005,4014,19 ,0,3,302,,,38.08
303,3006,4014,33 ,0,3,303,,,65.8
304,3007,4014,6 ,0,3,304,,,11.4
305,3008,4014,17 ,0,3,305,,,34.79
306,3009,4014,32 ,0,3,306,,,63.95
307,3001,4015,23 ,0,3,307,,,46.32
308,3002,4015,30 ,0,3,308,,,60.88
309,3003,4015,42 ,0,3,309,,,84.06
310,3004,4015,9 ,0,3,310,,,18.6
311,3005,4015,22 ,0,3,311,,,43.66
312,3006,4015,36 ,0,3,312,,,72.57
313,3007,4015,9 ,0,3,313,,,18.6
314,3008,4015,22 ,0,3,314,,,43.66
315,3009,4015,36 ,0,3,315,,,72.57
316,3001,4016,38 ,0,3,316,,,75.33
317,3002,4016,23 ,0,3,317,,,45.54
318,3003,4016,8 ,0,3,318,,,16.55
319,3004,4016,39 ,0,3,319,,,78.45
320,3005,4016,25 ,0,3,320,,,50.54
321,3006,4016,14 ,0,3,321,,,27.46
322,3007,4016,46 ,0,3,322,,,91.84
323,3008,4016,35 ,0,3,323,,,69.53
324,3009,4016,28 ,0,3,324,,,55.08
325,3001,4017,21 ,0,3,325,,,42.06
326,3002,4017,29 ,0,3,326,,,58.73
327,3003,4017,42 ,0,3,327,,,83.24
328,3004,4017,8 ,0,3,328,,,16.4
329,3005,4017,22 ,0,3,329,,,44.15
330,3006,4017,37 ,0,3,330,,,73.68
331,3007,4017,12 ,0,3,331,,,23.85
332,3008,4017,24 ,0,3,332,,,47.42
333,3009,4017,38 ,0,3,333,,,75.69
334,3001,4018,26 ,0,3,334,,,51.88
335,3002,4018,14 ,0,3,335,,,28.84
336,3003,4018,14 ,0,3,336,,,27.78
337,3004,4018,23 ,0,3,337,,,46.39
338,3005,4018,9 ,0,3,338,,,17.09
339,3006,4018,8 ,0,3,339,,,15.23
340,3007,4018,29 ,0,3,340,,,58.41
341,3008,4018,20 ,0,3,341,,,39.4
342,3009,4018,19 ,0,3,342,,,38.63
343,3001,4019,19 ,0,3,343,,,37.7
344,3002,4019,7 ,0,3,344,,,14.87
345,3003,4019,14 ,0,3,345,,,28.65
346,3004,4019,19 ,0,3,346,,,38.48
347,3005,4019,8 ,0,3,347,,,16.76
348,3006,4019,15 ,0,3,348,,,29.68
349,3007,4019,29 ,0,3,349,,,57.8
350,3008,4019,23 ,0,3,350,,,46.27
351,3009,4019,26 ,0,3,351,,,52.35
352,3001,4020,13 ,0,3,352,,,25.3
353,3002,4020,5 ,0,3,353,,,10
354,3003,4020,18 ,0,3,354,,,36.88
355,3004,4020,16 ,0,3,355,,,32.56
356,3005,4020,11 ,0,3,356,,,22.8
357,3006,4020,21 ,0,3,357,,,42.19
358,3007,4020,29 ,0,3,358,,,57.27
359,3008,4020,26 ,0,3,359,,,52.35
360,3009,4020,32 ,0,3,360,,,63.25
361,2001,3001,0,0,2,361,,,
362,2001,3002,0,30,2,362,,,
363,2001,3003,0,60,2,363,,,
364,2001,3004,0,30,2,364,,,
365,2001,3005,0,60,2,365,,,
366,2001,3006,0,90,2,366,,,
367,2001,3007,0,60,2,367,,,
368,2001,3008,0,90,2,368,,,
369,2001,3009,0,120,2,369,,,
370,2002,3001,0,30,2,370,,,
371,2002,3002,0,0,2,371,,,
372,2002,3003,0,30,2,372,,,
373,2002,3004,0,60,2,373,,,
374,2002,3005,0,30,2,374,,,
375,2002,3006,0,60,2,375,,,
376,2002,3007,0,90,2,376,,,
377,2002,3008,0,60,2,377,,,
378,2002,3009,0,90,2,378,,,
379,2003,3001,0,60,2,379,,,
380,2003,3002,0,30,2,380,,,
381,2003,3003,0,0,2,381,,,
382,2003,3004,0,90,2,382,,,
383,2003,3005,0,60,2,383,,,
384,2003,3006,0,30,2,384,,,
385,2003,3007,0,120,2,385,,,
386,2003,3008,0,90,2,386,,,
387,2003,3009,0,60,2,387,,,
388,2004,3001,0,30,2,388,,,
389,2004,3002,0,60,2,389,,,
390,2004,3003,0,90,2,390,,,
391,2004,3004,0,0,2,391,,,
392,2004,3005,0,30,2,392,,,
393,2004,3006,0,60,2,393,,,
394,2004,3007,0,30,2,394,,,
395,2004,3008,0,60,2,395,,,
396,2004,3009,0,90,2,396,,,
397,2005,3001,0,60,2,397,,,
398,2005,3002,0,30,2,398,,,
399,2005,3003,0,60,2,399,,,
400,2005,3004,0,30,2,400,,,
401,2005,3005,0,0,2,401,,,
402,2005,3006,0,30,2,402,,,
403,2005,3007,0,60,2,403,,,
404,2005,3008,0,30,2,404,,,
405,2005,3009,0,60,2,405,,,
406,2006,3001,0,90,2,406,,,
407,2006,3002,0,60,2,407,,,
408,2006,3003,0,30,2,408,,,
409,2006,3004,0,60,2,409,,,
410,2006,3005,0,30,2,410,,,
411,2006,3006,0,0,2,411,,,
412,2006,3007,0,90,2,412,,,
413,2006,3008,0,60,2,413,,,
414,2006,3009,0,30,2,414,,,
415,2007,3001,0,60,2,415,,,
416,2007,3002,0,90,2,416,,,
417,2007,3003,0,120,2,417,,,
418,2007,3004,0,30,2,418,,,
419,2007,3005,0,60,2,419,,,
420,2007,3006,0,90,2,420,,,
421,2007,3007,0,0,2,421,,,
422,2007,3008,0,30,2,422,,,
423,2007,3009,0,60,2,423,,,
424,2008,3001,0,90,2,424,,,
425,2008,3002,0,60,2,425,,,
426,2008,3003,0,90,2,426,,,
427,2008,3004,0,60,2,427,,,
428,2008,3005,0,30,2,428,,,
429,2008,3006,0,60,2,429,,,
430,2008,3007,0,30,2,430,,,
431,2008,3008,0,0,2,431,,,
432,2008,3009,0,30,2,432,,,
433,2009,3001,0,120,2,433,,,
434,2009,3002,0,90,2,434,,,
435,2009,3003,0,60,2,435,,,
436,2009,3004,0,90,2,436,,,
437,2009,3005,0,60,2,437,,,
438,2009,3006,0,30,2,438,,,
439,2009,3007,0,60,2,439,,,
440,2009,3008,0,30,2,440,,,
441,2009,3009,0,0,2,441,,,
